molecule_name,atom_count_total,final_energy_eV,homo_lumo_gap_eV,wall_time_s,relaxation_steps,max_force_eV_per_A,failure_category,final_energy_eV_pubchem,homo_lumo_gap_eV_pubchem,wall_time_s_pubchem,relaxation_steps_pubchem,max_force_eV_per_A_pubchem,final_energy_eV_diff,final_energy_eV_abs_diff,homo_lumo_gap_eV_diff,homo_lumo_gap_eV_abs_diff,wall_time_s_diff,wall_time_s_abs_diff,relaxation_steps_diff,relaxation_steps_abs_diff,max_force_eV_per_A_diff,max_force_eV_per_A_abs_diff,source_model
ethane,8,-40.408495,7.662313,1212.844,12,0.03508,NONE,-40.408479,7.662519,1187.947,12,0.033475,-1.6000000002236447e-05,1.6000000002236447e-05,-0.00020599999999948437,0.00020599999999948437,24.897000000000162,24.897000000000162,0,0,0.0016050000000000023,0.0016050000000000023,gemini
dimethyl_sulfoxide,10,-50.504308,4.710439,4458.693,29,0.040318,NONE,-50.506324,4.725633,1925.767,15,0.04398,0.0020159999999975753,0.0020159999999975753,-0.015194000000000152,0.015194000000000152,2532.9260000000004,2532.9260000000004,14,14,-0.0036619999999999986,0.0036619999999999986,gemini
cyclopentane,15,-82.187596,6.741498,7719.668,41,0.045537,NONE,-82.172276,6.746483,2406.381,14,0.04789,-0.015320000000002665,0.015320000000002665,-0.004984999999999573,0.004984999999999573,5313.287,5313.287,27,27,-0.002353000000000001,0.002353000000000001,gemini
ethanol,9,-47.024436,5.458075,1919.763,16,0.024548,NONE,-47.213978,5.586483,1812.448,15,0.049093,0.18954199999999588,0.18954199999999588,-0.1284080000000003,0.1284080000000003,107.31499999999983,107.31499999999983,1,1,-0.024544999999999997,0.024544999999999997,gemini
ethylamine,10,-52.108708,4.710901,5621.771,40,0.044902,NONE,-52.299661,4.818131,4101.986,36,0.041406,0.19095300000000037,0.19095300000000037,-0.10723000000000038,0.10723000000000038,1519.7849999999999,1519.7849999999999,4,4,0.003495999999999999,0.003495999999999999,gemini
ethylene,6,-31.909186,5.675783,869.055,11,0.044369,NONE,-31.909424,5.673316,881.587,12,0.044323,0.0002380000000030691,0.0002380000000030691,0.002467000000000219,0.002467000000000219,-12.532000000000039,12.532000000000039,-1,1,4.599999999999743e-05,4.599999999999743e-05,gemini
decane,32,-171.456104,5.983945,14833.269,44,0.049661,NONE,-172.318826,6.485991,6552.767,20,0.049595,0.8627219999999909,0.8627219999999909,-0.502046,0.502046,8280.502,8280.502,24,24,6.599999999999662e-05,6.599999999999662e-05,gemini
diethyl_ether,15,-79.885392,5.189991,14009.729,73,0.048501,NONE,-79.984341,5.268817,1984.261,11,0.040333,0.09894900000000462,0.09894900000000462,-0.07882600000000028,0.07882600000000028,12025.467999999999,12025.467999999999,62,62,0.008168000000000002,0.008168000000000002,gemini
formaldehyde,4,-22.577336,3.582095,547.515,7,0.025982,NONE,-22.576494,3.579879,423.353,5,0.035449,-0.0008419999999986771,0.0008419999999986771,0.0022159999999997737,0.0022159999999997737,124.16199999999998,124.16199999999998,2,2,-0.009467,0.009467,gemini
ethylbenzene,18,-108.958685,4.761906,8808.431,36,0.033228,NONE,-108.990014,4.85,3128.673,14,0.040498,0.031328999999999496,0.031328999999999496,-0.0880939999999999,0.0880939999999999,5679.758000000001,5679.758000000001,22,22,-0.007269999999999999,0.007269999999999999,gemini
furan,9,-56.857135,4.74944,1941.851,12,0.038073,NONE,-56.858601,4.747648,1770.032,11,0.035161,0.0014660000000006335,0.0014660000000006335,0.0017920000000000158,0.0017920000000000158,171.8190000000002,171.8190000000002,1,1,0.002912000000000005,0.002912000000000005,gemini
diethylamine,16,-85.085679,4.414754,17463.679,77,0.040825,NONE,-85.105735,4.463325,2046.911,11,0.049434,0.020055999999996743,0.020055999999996743,-0.04857099999999992,0.04857099999999992,15416.768,15416.768,66,66,-0.008608999999999999,0.008608999999999999,gemini
hydrogen_peroxide,4,-18.968532,4.925284,405.084,6,0.026104,NONE,-18.966286,5.000717,989.703,13,0.028616,-0.002245999999999526,0.002245999999999526,-0.07543299999999942,0.07543299999999942,-584.6189999999999,584.6189999999999,-7,7,-0.0025120000000000003,0.0025120000000000003,gemini
hydrogen_sulfide,3,-11.082249,5.366866,428.719,7,0.039181,NONE,-11.082202,5.366914,406.495,7,0.025035,-4.699999999857596e-05,4.699999999857596e-05,-4.8000000000492093e-05,4.8000000000492093e-05,22.22399999999999,22.22399999999999,0,0,0.014145999999999999,0.014145999999999999,gemini
ethyl_formate,11,-63.18541,5.272192,5627.561,31,0.049944,NONE,-63.474816,5.331124,1901.896,11,0.04744,0.2894059999999996,0.2894059999999996,-0.05893199999999954,0.05893199999999954,3725.665,3725.665,20,20,0.0025039999999999993,0.0025039999999999993,gemini
hydroxylamine,5,-24.807003,5.043472,3061.08,30,0.047999,NONE,-24.992706,5.422846,2382.122,26,0.046125,0.18570299999999662,0.18570299999999662,-0.37937399999999943,0.37937399999999943,678.9580000000001,678.9580000000001,4,4,0.0018740000000000007,0.0018740000000000007,gemini
hydrazine,6,-30.505686,5.01589,4847.691,40,0.036242,NONE,-30.505842,4.97477,3353.942,31,0.046289,0.00015600000000048908,0.00015600000000048908,0.04111999999999938,0.04111999999999938,1493.7489999999998,1493.7489999999998,9,9,-0.010046999999999993,0.010046999999999993,gemini
methane,5,-23.975139,8.996551,442.194,6,0.049776,NONE,-23.975148,8.995076,510.373,7,0.029539,9.00000000214618e-06,9.00000000214618e-06,0.0014750000000010033,0.0014750000000010033,-68.17899999999997,68.17899999999997,-1,1,0.020237,0.020237,gemini
hexane,20,-106.160022,6.473244,6304.673,27,0.046353,NONE,-106.383415,6.87156,3464.104,17,0.047864,0.2233930000000015,0.2233930000000015,-0.39831599999999945,0.39831599999999945,2840.569,2840.569,10,10,-0.0015109999999999985,0.0015109999999999985,gemini
